word	positive-emotion	negative-emotion	neutral-emotion	ambiguous-emotion	r			10	
beneficed	1.623458726	1.591494594	1.584633986	1.67259068	1.651233779	1.584633986	0	0	0
right	1.452228887	1.484654946	1.448995344	1.571337618	35.69791286	1.448995344	0	1	0
glamorous	1.11004627	1.222025059	1.285471348	1.199197037	17.75800931	1.11004627	1	1	1
anticipation	1.422106443	1.441864399	1.500507712	1.384173702	22.86921242	1.384173702	0	1	0
placidity	1.322502924	1.321055022	1.351543968	1.33899649	1.118943973	1.321055022	0	0	0
prosperous	1.358157443	1.483811578	1.455777042	1.567185684	32.39362008	1.358157443	1	1	1
electrifying	1.236204569	1.380619292	1.405619359	1.116080765	6.727855739	1.116080765	0	0	0
sanguine	1.137697248	1.194995486	1.266061227	1.309128361	9.736674835	1.137697248	1	0	0
frisson	1.247201072	1.289326508	1.380705094	1.221136769	2.369282148	1.221136769	0	0	0
thrilling	1.202346384	1.304175686	1.410238732	0.996295755	16.41803297	0.996295755	0	1	0
expectant	1.265570067	1.265534215	1.316493532	1.42292009	6.385972131	1.265534215	0	0	0
glamourous	1.45676742	1.480773658	1.578093128	1.449665792	1.340095903	1.449665792	0	0	0
soothing	0.973216609	1.091790424	1.222339172	1.051086328	9.115562908	0.973216609	1	0	0
smugness	1.273218944	1.213966157	1.261874746	1.216971821	1.798537218	1.213966157	0	0	0
unenthusiastic	1.289386013	1.21062932	1.233577773	1.306549358	9.002410729	1.21062932	0	0	0
liked	1.112808502	1.261826977	1.400696762	1.150964264	32.59728506	1.112808502	1	1	1
bright	1.189489784	1.371339968	1.380766092	1.218599767	27.82329287	1.189489784	1	1	1
contentment	0.981448945	1.173539377	1.184273888	1.260748385	11.45496499	0.981448945	1	1	1
fearlessly	1.17577207	1.156814134	1.245621728	1.168943844	3.843543333	1.156814134	0	0	0
peaceably	1.446439772	1.446563839	1.519535763	1.530511662	5.92031376	1.446439772	1	0	0
friendly	1.198600357	1.355012429	1.348988745	1.43116952	31.05492401	1.198600357	1	1	1
hilariously	1.281205777	1.174326729	1.318481469	1.139769835	3.922709338	1.139769835	0	0	0
beaming	1.420927766	1.451644487	1.440747269	1.311752208	6.552985021	1.311752208	0	0	0
elation	1.214190431	1.196644695	1.272622276	1.188659024	4.622643117	1.188659024	0	0	0
approved	1.634002188	1.731074854	1.679261101	1.710206571	38.96521942	1.634002188	1	1	1
enchanted	1.242612391	1.371405943	1.502914249	1.247536286	26.28311465	1.242612391	1	1	1
tickling	1.224138852	1.160530368	1.244941953	1.224439995	7.742342243	1.160530368	0	0	0
close	1.340239187	1.421564235	1.405096037	1.470468136	33.90583264	1.340239187	1	1	1
exhilarated	1.202556772	1.221776985	1.348959772	1.198108067	2.267681641	1.198108067	0	0	0
familiar	1.17256931	1.338893483	1.35736651	1.23052377	30.80890082	1.17256931	1	1	1
halcyon	1.466377839	1.603370847	1.575942955	1.527695439	12.32968582	1.466377839	1	1	1
unblinking	1.467052578	1.460376625	1.468116696	1.47835418	1.688756971	1.460376625	0	0	0
consoling	1.198607278	1.175959731	1.322540224	1.275837783	4.044702709	1.175959731	0	0	0
togetherness	1.124847523	1.333801598	1.377283224	1.31914764	4.825359496	1.124847523	1	0	0
near	1.70466797	1.664129965	1.634880859	1.613542709	33.1054595	1.613542709	0	1	0
gleefully	1.155483389	1.042265689	1.34335967	1.083786838	6.717981386	1.042265689	0	0	0
copacetic	1.386138347	1.425891944	1.508798839	1.401873977	1.606092155	1.386138347	1	0	0
complacency	1.129405144	0.968526551	1.121537545	1.135383352	8.377256081	0.968526551	0	0	0
exultant	1.176685072	1.257126573	1.359070996	1.188423953	3.128183801	1.176685072	1	0	0
hope	1.240949998	1.358696079	1.511849318	1.374692483	30.69072963	1.240949998	1	1	1
smiling	1.100665954	1.155236771	1.31762574	1.090622537	20.94134169	1.090622537	0	1	0
benevolence	1.089135129	1.243656292	1.230516062	1.390844376	15.03465032	1.089135129	1	1	1
cheer	1.254565213	1.338788376	1.522387379	1.231105973	25.62515499	1.231105973	0	1	0
fearlessness	1.060052395	1.07549894	1.200230297	1.135193734	6.054283324	1.060052395	1	0	0
zealous	1.228859371	1.122797486	1.261250376	1.371988921	14.85661301	1.122797486	0	1	0
friendliness	0.997039791	1.23161265	1.167659313	1.232259743	10.30804471	0.997039791	1	1	1
favourable	1.190782063	1.314634173	1.264310941	1.365405096	29.16183897	1.190782063	1	1	1
confident	0.972083164	1.152898067	1.205117972	1.060191652	26.94126199	0.972083164	1	1	1
bang	1.573116355	1.593302266	1.637636408	1.491505087	35.9095106	1.491505087	0	1	0
unintimidated	1.33973366	1.303823712	1.348571068	1.385129274	0.910029797	1.303823712	0	0	0
happy	1.01506855	1.205909003	1.379481611	1.160941079	33.06423231	1.01506855	1	1	1
triumph	1.315899031	1.354582708	1.455329894	1.29756722	29.34706515	1.29756722	0	1	0
intimate	1.092749671	1.318843644	1.254866691	1.320647081	30.6510204	1.092749671	1	1	1
joy	1.146458185	1.320983076	1.445239476	1.232049601	30.52973491	1.146458185	1	1	1
laughing	1.206931857	1.163032029	1.371750444	1.090100808	26.02613233	1.090100808	0	1	0
tranquillity	1.245552588	1.262697294	1.415379476	1.320912676	9.75526131	1.245552588	1	0	0
invigorating	1.170837507	1.381776731	1.39696451	1.224881721	4.323859176	1.170837507	1	0	0
grateful	1.296050178	1.484708181	1.602147048	1.415514387	31.89813814	1.296050178	1	1	1
optimism	1.015223725	1.124947711	1.1365621	1.168709416	23.12811374	1.015223725	1	1	1
benefic	1.37531158	1.441635375	1.416128825	1.525002761	1.465123512	1.37531158	1	0	0
jaunty	1.091101008	1.144608348	1.192192081	1.125589979	4.94413087	1.091101008	1	0	0
beneficent	1.217767677	1.358486052	1.367870825	1.425989204	6.436969798	1.217767677	1	0	0
compassionate	0.998867582	1.076028105	1.162120857	1.279919149	20.04468219	0.998867582	1	1	1
doting	1.241171569	1.246060713	1.384802007	1.383844906	4.415241527	1.241171569	1	0	0
unafraid	1.026409138	1.041035799	1.172460699	1.044205969	5.145270711	1.026409138	1	0	0
peaceable	1.343150034	1.343115333	1.425396319	1.456502128	9.494593069	1.343115333	0	0	0
peaceful	1.205139055	1.304511278	1.306007309	1.427833244	32.01304114	1.205139055	1	1	1
lovesome	1.452859992	1.523915721	1.560813066	1.451137577	1.393394248	1.451137577	0	0	0
untroubled	1.24911625	1.233167095	1.233251164	1.250713368	4.190204018	1.233167095	0	0	0
gusto	1.16970107	1.263399126	1.401591282	1.15270264	7.078699977	1.15270264	0	0	0
composed	1.509533927	1.629662306	1.595436735	1.53801238	36.21236007	1.509533927	1	1	1
love	1.116896417	1.240984652	1.454351549	1.270233396	38.00248429	1.116896417	1	1	1
exciting	1.034369114	1.264572276	1.315646712	0.979634087	28.22264048	0.979634087	0	1	0
exult	1.351186129	1.31920739	1.408219964	1.349781554	1.686124059	1.31920739	0	0	0
encouragement	1.226899762	1.379082606	1.288714271	1.414835235	24.33497248	1.226899762	1	1	1
anticipate	1.365981117	1.373976708	1.357930231	1.315982089	18.11452064	1.315982089	0	1	0
consolatory	1.436743757	1.479136267	1.527434022	1.475687131	1.843704237	1.436743757	1	0	0
rallying	1.445956022	1.397746975	1.501622585	1.484608135	26.13969741	1.397746975	0	1	0
loverly	1.368858165	1.470821471	1.570723887	1.382364872	2.21859292	1.368858165	1	0	0
exultation	1.13491012	1.192443752	1.354036222	1.152672367	3.206962164	1.13491012	1	0	0
charmed	1.26336675	1.293166315	1.508818529	1.286831106	20.58737801	1.26336675	1	1	1
content	1.479652724	1.579198189	1.479712004	1.597220006	33.23939479	1.479652724	1	1	1
ego	1.362450036	1.322684724	1.36919364	1.43919801	35.51446737	1.322684724	0	1	0
gloat	1.345573701	1.300039058	1.439738901	1.308666388	2.205441862	1.300039058	0	0	0
fondly	1.252474768	1.356880418	1.413719845	1.266540133	14.7702839	1.252474768	1	1	1
tolerable	1.387059504	1.413374231	1.35958903	1.446778793	11.49976979	1.35958903	0	1	0
enthusiastic	1.066485668	1.256537224	1.220529114	1.172618772	33.27609196	1.066485668	1	1	1
attached	1.473655597	1.567394875	1.48640992	1.57312739	34.29035429	1.473655597	1	1	1
heartening	1.393325162	1.373329862	1.492373786	1.399937845	1.198967065	1.373329862	0	0	0
satisfactorily	1.465435963	1.53447001	1.423968857	1.433939481	10.95524373	1.423968857	0	1	0
euphoria	1.190204948	1.179227547	1.254994661	1.212182638	17.12417548	1.179227547	0	1	0
devotion	1.087641445	1.299561901	1.266788571	1.344471299	31.87992359	1.087641445	1	1	1
pleasing	0.933937456	1.202020965	1.199980597	1.067330288	21.9686253	0.933937456	1	1	1
regard	1.251056577	1.335599684	1.268852106	1.401800269	33.23022361	1.251056577	1	1	1
rosy	1.399166502	1.420886034	1.46270379	1.435525314	15.36646126	1.399166502	1	1	1
cozy	1.380660637	1.468100124	1.51750411	1.438111678	10.24531008	1.380660637	1	1	1
exhilaration	1.218813518	1.298990761	1.291119873	1.177317723	3.917188801	1.177317723	0	0	0
ardent	1.176950016	1.252535871	1.230319095	1.344169322	27.20589048	1.176950016	1	1	1
breathtaking	1.079794297	1.290291468	1.299249786	1.039424105	9.744067263	1.039424105	0	0	0
dedicated	1.486451059	1.71660229	1.678656103	1.629060677	33.38803976	1.486451059	1	1	1
elated	1.02106411	1.072657896	1.301980332	1.0042124	6.184144472	1.0042124	0	0	0
encouraging	1.220597966	1.33200925	1.347095347	1.44223499	29.43048515	1.220597966	1	1	1
proudly	1.187729813	1.323812129	1.49301021	1.243264432	17.37729197	1.187729813	1	1	1
cheering	1.199512776	1.221294097	1.404620498	1.087946017	16.96485493	1.087946017	0	1	0
placid	1.387819787	1.478624324	1.431970571	1.425126839	21.08110602	1.387819787	1	1	1
affect	1.464734228	1.476465689	1.432036772	1.5092596	40.07446956	1.432036772	0	1	0
buoyant	1.241664418	1.349765663	1.270638453	1.307172672	17.4606252	1.241664418	1	1	1
hopefulness	1.131560451	1.287511248	1.339105295	1.331801736	2.085942452	1.131560451	1	0	0
hopefully	1.273064392	1.415398105	1.488328895	1.287050531	13.12380639	1.273064392	1	1	1
affectional	1.355991395	1.418266069	1.364485504	1.478649506	2.645456645	1.355991395	1	0	0
beamish	1.573279269	1.543717198	1.533878321	1.57185579	9.927132562	1.533878321	0	0	0
understood	1.291852355	1.375195109	1.323909392	1.332313726	36.56780547	1.291852355	1	1	1
security	1.623249166	1.595383446	1.54779868	1.699494461	38.29405038	1.54779868	0	1	0
triumphantly	1.320207828	1.291274648	1.497669294	1.199254762	8.413310911	1.199254762	0	0	0
bullish	1.393267115	1.408385637	1.375971852	1.410274649	3.605990363	1.375971852	0	0	0
favorable	1.221025962	1.365728875	1.332976619	1.427040394	30.80641947	1.221025962	1	1	1
sunny	1.273654713	1.424183318	1.448253766	1.409799717	29.9487674	1.273654713	1	1	1
overjoyed	1.112199895	1.174933071	1.401937874	1.111947433	9.94703896	1.111947433	0	0	0
calmness	0.916418237	1.084218422	1.116390756	1.104956936	7.316451988	0.916418237	1	0	0
avid	1.340872843	1.495524638	1.418298119	1.459331832	37.4217922	1.340872843	1	1	1
perky	1.279272322	1.357311727	1.39841539	1.303008528	4.668182811	1.279272322	1	0	0
glowing	1.229881456	1.327032807	1.411781021	1.096820095	22.10127356	1.096820095	0	1	0
titillating	1.236542552	1.215448615	1.368781275	1.283254814	3.233673763	1.215448615	0	0	0
approve	1.465155011	1.503877211	1.520148894	1.572332445	29.85765299	1.465155011	1	1	1
unflinching	1.20806504	1.196718614	1.265674698	1.263849622	5.315152273	1.196718614	0	0	0
triumphal	1.435360942	1.548196051	1.556053584	1.446955613	22.97933307	1.435360942	1	1	1
approximate	1.581446312	1.70044984	1.569314168	1.647703117	31.18584241	1.569314168	0	1	0
benevolent	1.197727213	1.285331958	1.294086465	1.437487386	23.17667199	1.197727213	1	1	1
coolness	1.093695656	1.160569893	1.231685631	1.117513418	7.742496437	1.093695656	1	0	0
gratitude	1.126060063	1.283218128	1.386376013	1.329369434	29.43199381	1.126060063	1	1	1
heady	1.254943463	1.324242554	1.454268364	1.175394302	5.869025766	1.175394302	0	0	0
debonaire	1.5008137	1.565278468	1.618799335	1.506539839	1.557083962	1.5008137	1	0	0
placidly	1.468012657	1.426636038	1.43306227	1.452465031	1.535704892	1.426636038	0	0	0
optimistic	1.0169973	1.11672365	1.118648801	1.15684955	26.30925399	1.0169973	1	1	1
affirmative	1.521805192	1.514444574	1.457704815	1.635346376	31.54808882	1.457704815	0	1	0
optimistically	1.476379969	1.442758487	1.487443716	1.439511877	4.246189937	1.439511877	0	0	0
captivation	1.470127613	1.536534709	1.634430828	1.504185143	1.002665931	1.470127613	1	0	0
satiated	1.245875632	1.233048518	1.356970074	1.27445115	3.336498361	1.233048518	0	0	0
amicably	1.498369366	1.497466371	1.510246013	1.565169549	11.64535335	1.497466371	0	1	0
favorably	1.29521352	1.369031166	1.391681585	1.328961833	23.43692613	1.29521352	1	1	1
confidential	1.487138667	1.451241684	1.480492326	1.536350786	25.07952137	1.451241684	0	1	0
encouragingly	1.391163643	1.417932949	1.428001506	1.449827522	1.578121144	1.391163643	1	0	0
warmhearted	1.307612696	1.405679421	1.326516471	1.41998277	2.13372046	1.307612696	1	0	0
exulting	1.404710698	1.353413779	1.490350126	1.401501301	1.994398992	1.353413779	0	0	0
gladden	1.555755859	1.569054393	1.646535581	1.520848684	8.25393227	1.520848684	0	0	0
blissful	1.120270696	1.294849949	1.337004773	1.260849258	8.309733508	1.120270696	1	0	0
fondness	1.137740457	1.207486714	1.332861407	1.286600484	22.67334852	1.137740457	1	1	1
kid	1.40804546	1.399647173	1.63370941	1.327713877	31.7656693	1.327713877	0	1	0
brotherly	1.158699928	1.264119274	1.360742819	1.360410067	12.2659409	1.158699928	1	1	1
fashionable	1.274055447	1.377592821	1.330958847	1.37211685	30.60722593	1.274055447	1	1	1
loyalty	1.193479817	1.272460429	1.334635267	1.471768784	35.08546349	1.193479817	1	1	1
satisfying	1.136413681	1.362595487	1.30048981	1.326040474	23.22780443	1.136413681	1	1	1
preen	1.491949267	1.512697806	1.523076916	1.545975217	6.426972949	1.491949267	1	0	0
enamored	1.081217581	1.157324522	1.33034111	1.153117532	13.12494459	1.081217581	1	1	1
belonging	1.549802132	1.577140759	1.538378134	1.64262095	31.35575884	1.538378134	0	1	0
teased	1.144420062	1.069584235	1.299490064	1.10515326	12.23849436	1.069584235	0	1	0
rejoicing	1.104855978	1.206146716	1.397070632	1.15116713	10.27861153	1.104855978	1	1	1
chipper	1.503454682	1.532912563	1.559648219	1.437749867	6.420563842	1.437749867	0	0	0
triumphant	1.16738937	1.18681292	1.394249228	1.142621541	20.09266867	1.142621541	0	1	0
titillation	1.322437718	1.312081274	1.304834811	1.40897727	2.495610752	1.304834811	0	0	0
protectiveness	1.354839326	1.371880921	1.37684105	1.467074046	2.261670798	1.354839326	1	0	0
fond	1.04037549	1.181210462	1.322719855	1.196878971	31.32926956	1.04037549	1	1	1
calm	0.977296702	1.058428573	1.11393507	1.104567483	30.73459758	0.977296702	1	1	1
amorous	1.114296199	1.148438431	1.276227051	1.237170204	14.65302236	1.114296199	1	1	1
gay	1.411034084	1.415513309	1.47125549	1.484634008	36.58145623	1.411034084	1	1	1
okay	1.269360661	1.319292319	1.50077731	1.207198344	16.1168917	1.207198344	0	1	0
golden	1.532535605	1.626898922	1.690169776	1.532799825	38.586989	1.532535605	1	1	1
crazy	1.336458644	1.32784334	1.551935029	1.262168196	29.76392602	1.262168196	0	1	0
caring	1.101850718	1.200819803	1.253564036	1.39481399	27.54931644	1.101850718	1	1	1
uxorious	1.448321263	1.468775938	1.555533392	1.618391988	1.123573415	1.448321263	1	0	0
favor	1.510831937	1.428300587	1.439039025	1.643334733	34.24299556	1.428300587	0	1	0
rejoice	1.084124052	1.228973577	1.440949373	1.213335126	14.21293678	1.084124052	1	1	1
infatuated	1.111171761	1.124927736	1.271179524	1.216903333	17.8999849	1.111171761	1	1	1
liking	1.088258156	1.214818805	1.260593785	1.198889853	20.60106967	1.088258156	1	1	1
satisfy	1.368607861	1.465214242	1.443721919	1.539148632	32.91595129	1.368607861	1	1	1
approval	1.498819804	1.581584902	1.489675024	1.632846744	37.7888136	1.489675024	0	1	0
admirably	1.204129912	1.392114626	1.401554405	1.255953291	8.021908185	1.204129912	1	0	0
eagerly	1.29103657	1.350966307	1.509920607	1.322877545	15.98199718	1.29103657	1	1	1
galvanic	1.591430898	1.588186822	1.574746882	1.635326311	15.04174099	1.574746882	0	1	0
boon	1.411009742	1.500079182	1.574887981	1.452493445	18.79629353	1.411009742	1	1	1
gratefulness	1.299458725	1.405223859	1.416687322	1.438335101	1.744565945	1.299458725	1	0	0
encourage	1.329827218	1.498501268	1.417289473	1.596396381	34.32678468	1.329827218	1	1	1
