categ	word	vec1_distance	vec2_distance				GD	102	179	0.569832402
sadness	anguished	6.001586867	5.064172998	-0.93741387	sadness	1				
sadness	dolorous	6.372410683	5.442527528	-0.929883155	sadness	1				
sadness	drab	15.92411384	15.00182998	-0.922283863	sadness	1				
sadness	plaintively	5.914550987	4.999378923	-0.915172065	sadness	1				
sadness	drear	6.0744156	5.182294473	-0.892121128	sadness	1				
sadness	joyless	6.024358733	5.138178605	-0.886180128	sadness	1				
general-dislike	torment	16.56547112	15.67954886	-0.885922263	sadness	0				
sadness	contrite	5.785052583	4.914869139	-0.870183444	sadness	1				
sadness	lachrymose	6.34461073	5.483237835	-0.861372895	sadness	1				
general-dislike	lividity	6.138279608	5.287870689	-0.850408919	sadness	0				
sadness	sorrowfully	5.808178344	4.966477748	-0.841700595	sadness	1				
sadness	woeful	5.64178054	4.800975901	-0.840804638	sadness	1				
sadness	cheerless	5.804845491	4.97643155	-0.828413941	sadness	1				
sadness	repentant	7.228656715	6.40511999	-0.823536725	sadness	1				
general-dislike	wroth	6.566085706	5.759542373	-0.806543333	sadness	0				
sadness	despondency	5.390018905	4.590993545	-0.79902536	sadness	1				
sadness	rueful	5.620789802	4.829719492	-0.79107031	sadness	1				
general-dislike	frowning	6.125478288	5.340201084	-0.785277204	sadness	0				
sadness	downtrodden	8.049862312	7.272892147	-0.776970165	sadness	1				
general-dislike	hideous	14.12681421	13.34986435	-0.776949863	sadness	0				
sadness	heartsick	5.93962972	5.171785426	-0.767844294	sadness	1				
sadness	soiled	7.908113397	7.141084539	-0.767028858	sadness	1				
sadness	dingy	6.46321258	5.698882803	-0.764329777	sadness	1				
sadness	despairingly	6.005769894	5.247937518	-0.757832376	sadness	1				
general-dislike	smoldering	8.200345364	7.44256277	-0.757782594	sadness	0				
sadness	depression	41.66929252	40.91534948	-0.753943042	sadness	1				
general-dislike	choleric	6.788534101	6.034998257	-0.753535844	sadness	0				
general-dislike	sick	29.97838791	29.22549752	-0.752890394	sadness	0				
sadness	penitentiary	31.66489528	30.93116359	-0.733731693	sadness	1				
sadness	mournfully	5.625123306	4.893127442	-0.731995864	sadness	1				
sadness	ruefully	5.939666237	5.207889717	-0.731776521	sadness	1				
sadness	remorseful	6.102241453	5.374903047	-0.727338407	sadness	1				
sadness	brokenhearted	6.248341679	5.523667562	-0.724674117	sadness	1				
sadness	bereaved	8.60686855	7.888140187	-0.718728363	sadness	1				
sadness	forlornly	6.042139491	5.326745603	-0.715393888	sadness	1				
general-dislike	maddening	6.172326994	5.457440844	-0.71488615	sadness	0				
sadness	regretful	5.430388916	4.717358829	-0.713030087	sadness	1				
sadness	dismal	16.19619977	15.48485725	-0.711342513	sadness	1				
sadness	gloomily	5.873441971	5.169260039	-0.704181933	sadness	1				
sadness	disconsolate	5.430718656	4.735137255	-0.695581401	sadness	1				
general-dislike	covetous	5.733812297	5.040482766	-0.693329531	sadness	0				
sadness	heartrending	5.870028051	5.176759031	-0.69326902	sadness	1				
general-dislike	huffy	6.223298929	5.538260604	-0.685038325	sadness	0				
sadness	oppressively	5.816056009	5.14893447	-0.667121539	sadness	1				
sadness	despondent	9.283043854	8.616162011	-0.666881843	sadness	1				
general-dislike	malevolently	5.847192023	5.185252831	-0.661939192	sadness	0				
sadness	compunction	5.58330168	4.936865688	-0.646435991	sadness	1				
sadness	heartbroken	11.75996468	11.12285267	-0.637112016	sadness	1				
general-dislike	sicken	5.970171478	5.335703134	-0.634468344	sadness	0				
general-dislike	nauseated	5.45058344	4.822970586	-0.627612853	sadness	0				
general-dislike	misanthropy	5.918956731	5.29624973	-0.622707001	sadness	0				
sadness	dysphoric	6.545398415	5.928220583	-0.617177832	sadness	1				
general-dislike	resentfully	5.875853409	5.26790106	-0.607952349	sadness	0				
general-dislike	unlovable	5.789700744	5.184988222	-0.604712522	sadness	0				
sadness	hopeless	16.82735591	16.22355515	-0.603800754	sadness	1				
sadness	tearful	8.519800719	7.923328324	-0.596472395	sadness	1				
sadness	depressing	11.3610526	10.76822099	-0.592831615	sadness	1				
general-dislike	disgustingly	5.84172854	5.253620536	-0.588108004	sadness	0				
sadness	hapless	8.54360327	7.956905671	-0.586697599	sadness	1				
general-dislike	miffed	5.919357855	5.338065315	-0.58129254	sadness	0				
general-dislike	sulk	5.841203555	5.264591506	-0.57661205	sadness	0				
general-dislike	peeved	5.90966071	5.333644803	-0.576015907	sadness	0				
sadness	deplorably	5.927208035	5.351228453	-0.575979582	sadness	1				
general-dislike	irascibility	5.543682733	4.973606108	-0.570076625	sadness	0				
general-dislike	malefic	6.000744056	5.433191038	-0.567553018	sadness	0				
general-dislike	enviously	5.865578438	5.301026028	-0.564552411	sadness	0				
general-dislike	loth	6.671932637	6.111611828	-0.560320809	sadness	0				
sadness	lugubrious	5.770328074	5.21221795	-0.558110123	sadness	1				
sadness	unsmiling	5.950374272	5.398527494	-0.551846778	sadness	1				
sadness	inhospitable	13.72911585	13.18797493	-0.541140929	sadness	1				
sadness	tormented	13.73828776	13.20808445	-0.530203306	sadness	1				
general-dislike	enviable	8.587724414	8.060737012	-0.526987402	sadness	0				
general-dislike	disgustedly	5.780126007	5.254726141	-0.525399866	sadness	0				
sadness	weight	39.15578195	38.64154335	-0.514238594	sadness	1				
general-dislike	maddened	5.516337096	5.002972808	-0.513364287	sadness	0				
general-dislike	chilly	13.97619135	13.47010222	-0.506089138	sadness	0				
sadness	deplorable	8.788198821	8.283230127	-0.504968695	sadness	1				
sadness	repent	16.05491295	15.55389426	-0.501018687	sadness	1				
general-dislike	unwholesome	5.686741914	5.196271012	-0.490470901	sadness	0				
general-dislike	acquisitive	5.999610814	5.512103684	-0.487507129	sadness	0				
general-dislike	abhor	5.679950436	5.193020236	-0.4869302	sadness	0				
general-dislike	wrathful	8.487539023	8.004842578	-0.482696445	sadness	0				
general-dislike	belligerently	5.657867553	5.178193424	-0.479674129	sadness	0				
general-dislike	scowling	5.578766924	5.100184711	-0.478582213	sadness	0				
sadness	unclean	13.40029475	12.93919909	-0.461095663	sadness	1				
general-dislike	warpath	8.438765594	7.979110072	-0.459655522	sadness	0				
general-dislike	dissuasive	5.854332702	5.395436667	-0.458896036	sadness	0				
general-dislike	unoriented	6.969525912	6.512482838	-0.457043075	sadness	0				
general-dislike	pained	5.473128963	5.016576347	-0.456552616	sadness	0				
general-dislike	maleficence	6.421390884	5.969376893	-0.452013991	sadness	0				
sadness	grievously	6.195729574	5.745436605	-0.450292969	sadness	1				
general-dislike	covetousness	5.985215613	5.545455084	-0.439760529	sadness	0				
general-dislike	smouldering	6.690042726	6.253041729	-0.437000996	sadness	0				
sadness	grievous	12.78753341	12.36757416	-0.419959253	sadness	1				
general-dislike	roiled	5.799357177	5.383869621	-0.415487557	sadness	0				
general-dislike	sore	18.3666175	17.95877791	-0.407839589	sadness	0				
general-dislike	exasperating	5.56822008	5.171952205	-0.396267874	sadness	0				
general-dislike	indisposed	6.290412702	5.901392169	-0.389020534	sadness	0				
general-dislike	dander	6.670697447	6.28239966	-0.388297787	sadness	0				
general-dislike	stew	22.26857052	21.88794111	-0.380629408	sadness	0				
general-dislike	dudgeon	7.943894035	7.565817612	-0.378076423	sadness	0				
sadness	bereft	7.614874092	7.241541102	-0.373332991	sadness	1				
sadness	sorry	25.94960244	25.58056686	-0.369035581	sadness	1				
general-dislike	maleficent	10.92770246	10.58019549	-0.347506973	sadness	0				
general-dislike	execrable	5.693584892	5.362505999	-0.331078892	sadness	0				
general-dislike	antipathetic	5.469927316	5.149505387	-0.320421929	sadness	0				
general-dislike	unfriendliness	5.752801075	5.437690792	-0.315110284	sadness	0				
general-dislike	covet	6.274661354	5.9669396	-0.307721754	sadness	0				
general-dislike	vexing	6.173843403	5.867476605	-0.306366798	sadness	0				
general-dislike	abominable	11.57904233	11.28885577	-0.290186563	sadness	0				
general-dislike	riled	5.885468362	5.600617744	-0.284850618	sadness	0				
sadness	tortured	29.6368938	29.35319644	-0.283697363	sadness	1				
general-dislike	livid	5.895846841	5.613714292	-0.282132549	sadness	0				
general-dislike	displease	5.786709975	5.522716942	-0.263993033	sadness	0				
general-dislike	displeasing	5.531304824	5.272484861	-0.258819964	sadness	0				
sadness	dysphoria	10.45319795	10.19644244	-0.256755503	sadness	1				
sadness	helplessness	9.922354737	9.670057651	-0.252297086	sadness	1				
general-dislike	vindictiveness	5.132113923	4.884491921	-0.247622001	sadness	0				
general-dislike	detestable	5.904656851	5.67391826	-0.230738591	sadness	0				
sadness	demoralizing	6.253445183	6.027676664	-0.225768519	sadness	1				
sadness	miserably	9.947163986	9.732339614	-0.214824372	sadness	1				
general-dislike	isolation	28.12826751	27.93684489	-0.191422618	sadness	0				
general-dislike	repugnance	5.813158248	5.634963331	-0.178194918	sadness	0				
sadness	tired	26.623383	26.45995734	-0.163425666	sadness	1				
general-dislike	pique	7.320784847	7.161992477	-0.15879237	sadness	0				
general-dislike	disconcerting	6.453600297	6.303898586	-0.149701711	sadness	0				
general-dislike	aggravation	5.609095073	5.464100796	-0.144994277	sadness	0				
general-dislike	amok	13.02331673	12.88343513	-0.139881597	sadness	0				
sadness	laden	28.78828134	28.65510401	-0.133177335	sadness	1				
sadness	bored	19.69908362	19.57659421	-0.122489413	sadness	1				
sadness	guilt	29.54179514	29.41988432	-0.121910814	sadness	1				
general-dislike	nauseating	5.264211748	5.144973288	-0.11923846	sadness	0				
general-dislike	nausea	24.5952675	24.49247283	-0.102794666	sadness	0				
general-dislike	fit	32.74001332	32.64462236	-0.095390956	sadness	0				
general-dislike	wishful	11.15419702	11.06074138	-0.093455644	sadness	0				
general-dislike	disinclination	6.262525036	6.177232787	-0.085292249	sadness	0				
general-dislike	perplexed	10.75571561	10.69614425	-0.059571359	sadness	0				
general-dislike	estrange	7.092782079	7.044208726	-0.048573353	sadness	0				
sadness	attrition	21.945696	21.90620839	-0.039487612	sadness	1				
general-dislike	inimical	6.36552067	6.335580951	-0.029939719	sadness	0				
sadness	burdened	12.04853126	12.02059042	-0.027940846	sadness	1				
sadness	unfortunate	21.36050856	21.34167777	-0.018830785	sadness	1				
general-dislike	ugly	25.15133644	25.14436553	-0.006970909	sadness	0				
general-dislike	malevolence	5.749997186	5.74409124	-0.005905946	sadness	0				
sadness	depress	9.554948655	9.550949701	-0.003998954	sadness	1				
general-dislike	rancorous	5.412806319	5.409399879	-0.003406439	sadness	0				
general-dislike	mad	28.85152011	28.85062576	-0.000894355	sadness	0				
general-dislike	steamed	35.31231149	35.31333846	0.001026968	sadness	0				
general-dislike	dirty	30.39789309	30.40208834	0.00419525	sadness	0				
general-dislike	indignantly	5.782676648	5.792905441	0.010228793	sadness	0				
general-dislike	umbrage	7.924858366	7.944473491	0.019615126	sadness	0				
general-dislike	shock	29.65546649	29.69374173	0.038275242	sadness	0				
general-dislike	ill	39.92875739	39.97490869	0.046151305	sadness	0				
general-dislike	misanthropic	6.61406641	6.662735701	0.048669292	sadness	0				
general-dislike	desirous	7.883427636	7.938230811	0.054803175	sadness	0				
general-dislike	furiously	9.362372324	9.417604524	0.0552322	sadness	0				
general-dislike	pissed	10.17143878	10.23201257	0.060573795	sadness	0				
general-dislike	fury	26.61127159	26.67271708	0.061445487	sadness	0				
sadness	unsound	10.52571253	10.58803944	0.062326906	sadness	1				
general-dislike	malice	18.95715703	19.02260062	0.065443584	sadness	0				
sadness	demoralization	5.852456952	5.932520961	0.080064009	sadness	1				
general-dislike	odious	6.70698423	6.803521482	0.096537252	sadness	0				
sadness	oppression	27.80782053	27.91111285	0.103292318	sadness	1				
general-dislike	disinclined	6.145287647	6.249681029	0.104393382	sadness	0				
general-dislike	wrath	29.10786862	29.22530068	0.117432063	sadness	0				
general-dislike	irascible	6.020357249	6.144895895	0.124538646	sadness	0				
general-dislike	abhorrence	5.671571922	5.818751922	0.14718	sadness	0				
general-dislike	maliciously	6.5089675	6.664395392	0.155427892	sadness	0				
sadness	strict	31.30533052	31.47903372	0.173703201	sadness	1				
general-dislike	hateful	9.775679051	9.96995394	0.194274889	sadness	0				
general-dislike	separate	35.01176059	35.21302729	0.201266694	sadness	0				
general-dislike	disagreeable	7.202992036	7.411360889	0.208368852	sadness	0				
general-dislike	abhorrent	6.002565228	6.224561459	0.221996231	sadness	0				
general-dislike	jealously	8.796585914	9.031075447	0.234489533	sadness	0				
general-dislike	alienation	21.82233268	22.05840992	0.236077245	sadness	0				
general-dislike	avaricious	5.980736961	6.230143406	0.249406445	sadness	0				
general-dislike	belligerence	6.304040867	6.583559985	0.279519117	sadness	0				
general-dislike	exacerbate	12.96599093	13.2845865	0.318595567	sadness	0				
general-dislike	malevolent	17.34084394	17.68024592	0.339401976	sadness	0				
general-dislike	loath	6.759642191	7.119581033	0.359938842	sadness	0				
general-dislike	stung	10.58223334	10.94759546	0.365362119	sadness	0				
general-dislike	infuriating	5.95352233	6.33149391	0.37797158	sadness	0				
sadness	bitter	26.84196058	27.23881986	0.396859285	sadness	1				
general-dislike	desirable	28.73113606	29.17893263	0.447796576	sadness	0				
general-dislike	envy	16.33417378	16.80961324	0.47543946	sadness	0				
sadness	unhappy	27.71992267	28.25459314	0.534670468	sadness	1				
general-dislike	grudge	18.9564811	19.5190713	0.562590192	sadness	0				
general-dislike	aggravated	21.17891683	21.75210203	0.573185198	sadness	0				
general-dislike	baffled	8.309882075	8.908083943	0.598201868	sadness	0				
sadness	inferior	29.41155625	30.00981245	0.598256198	sadness	1				
sadness	domineering	9.8674144	10.47396305	0.606548649	sadness	1				
sadness	persecute	9.133394908	9.743828946	0.610434038	sadness	1				
general-dislike	irate	7.053665827	7.748210007	0.69454418	sadness	0				
sadness	oppressive	21.46855266	22.16641633	0.697863675	sadness	1				
general-dislike	disgusting	12.68086806	13.43188087	0.751012817	sadness	0				
general-dislike	hate	29.14540304	29.90300382	0.757600779	sadness	0				
general-dislike	furious	24.54359819	25.33465069	0.791052504	sadness	0				
general-dislike	frustrating	13.85963938	14.66196349	0.802324109	sadness	0				
general-dislike	unfavourable	15.7010775	16.51537501	0.81429751	sadness	0				
general-dislike	misogyny	11.55278538	12.39136278	0.838577403	sadness	0				
general-dislike	acrimonious	16.59930686	17.45444529	0.855138428	sadness	0				
general-dislike	averse	11.2979231	12.22795252	0.930029415	sadness	0				
general-dislike	annoying	15.74142169	16.73475786	0.993336173	sadness	0				
general-dislike	indignant	6.676985455	7.686071827	1.009086372	sadness	0				
general-dislike	exasperated	7.723116208	8.739415865	1.016299657	sadness	0				
general-dislike	repel	23.38503405	24.41387612	1.028842065	sadness	0				
general-dislike	unfavorable	19.3433368	20.38014206	1.036805257	sadness	0				
general-dislike	annoy	7.891594002	8.937022184	1.045428182	sadness	0				
general-dislike	jealousy	24.94685509	26.02770677	1.080851674	sadness	0				
general-dislike	disapprove	9.085125352	10.16878213	1.083656775	sadness	0				
general-dislike	disapproving	6.601777258	7.728121677	1.126344419	sadness	0				
general-dislike	opponent	39.04116966	40.16838965	1.127219994	sadness	0				
general-dislike	jealous	24.36347992	25.51541353	1.151933609	sadness	0				
general-dislike	upsetting	8.548354126	9.709981808	1.161627682	sadness	0				
general-dislike	frustration	24.89896799	26.06919525	1.170227263	sadness	0				
general-dislike	disgust	18.4108672	19.58164524	1.170778042	sadness	0				
general-dislike	displeased	15.9438688	17.12710399	1.183235195	sadness	0				
general-dislike	discouraging	10.42716638	11.61983713	1.192670745	sadness	0				
general-dislike	contempt	26.42613513	27.63834598	1.212210855	sadness	0				
general-dislike	indignation	14.59578254	15.81897815	1.223195607	sadness	0				
general-dislike	belligerent	17.15187517	18.39751427	1.245639101	sadness	0				
general-dislike	reluctant	31.85370739	33.11092914	1.257221746	sadness	0				
general-dislike	disgusted	14.82309559	16.09049141	1.267395824	sadness	0				
general-dislike	resentful	9.126601651	10.43558314	1.308981491	sadness	0				
general-dislike	angry	28.68752357	30.00227139	1.314747817	sadness	0				
general-dislike	anger	27.6319253	28.97850077	1.346575461	sadness	0				
general-dislike	harassment	28.72777308	30.08914345	1.361370367	sadness	0				
general-dislike	annoyance	15.69844122	17.07633203	1.377890808	sadness	0				
general-dislike	angrily	19.1992852	20.59680083	1.397515631	sadness	0				
general-dislike	enraged	25.19893573	26.62577695	1.426841224	sadness	0				
general-dislike	unfriendly	8.876566688	10.32561371	1.449047023	sadness	0				
general-dislike	malicious	24.05629226	25.52840553	1.472113272	sadness	0				
general-dislike	antipathy	14.8800569	16.45329275	1.573235852	sadness	0				
general-dislike	aggressive	30.65300153	32.24735875	1.594357214	sadness	0				
general-dislike	disliked	28.70722545	30.3472563	1.640030856	sadness	0				
general-dislike	opposing	27.33997574	28.9801364	1.640160661	sadness	0				
general-dislike	animosity	23.81928513	25.48422432	1.66493919	sadness	0				
general-dislike	antagonism	15.9519491	17.63301374	1.681064635	sadness	0				
general-dislike	alienated	25.64682757	27.3300099	1.683182337	sadness	0				
general-dislike	aggression	31.76329054	33.44728349	1.683992948	sadness	0				
general-dislike	disapproval	23.8397323	25.5285888	1.688856503	sadness	0				
general-dislike	incensed	10.89348955	12.60376712	1.71027757	sadness	0				
general-dislike	resentment	29.10049257	30.81699723	1.716504658	sadness	0				
general-dislike	displeasure	19.11381529	20.83100742	1.717192128	sadness	0				
general-dislike	antagonistic	14.95549639	16.738395	1.78289861	sadness	0				
general-dislike	annoyed	18.92779977	20.74921465	1.821414876	sadness	0				
general-dislike	irritated	14.05561354	15.89013996	1.834526421	sadness	0				
general-dislike	provoked	30.04630595	31.89239115	1.846085201	sadness	0				
general-dislike	offended	22.73828367	24.63881339	1.900529723	sadness	0				
general-dislike	dislike	25.14746198	27.04851608	1.901054103	sadness	0				
general-dislike	outraged	21.47809324	23.46022682	1.982133575	sadness	0				
general-dislike	hostility	29.43466459	31.50633984	2.071675245	sadness	0				
general-dislike	infuriated	14.91673108	17.00607291	2.089341831	sadness	0				
general-dislike	hostile	27.33765152	29.43900672	2.101355207	sadness	0				
general-dislike	angered	26.40116893	28.6028336	2.201664671	sadness	0				
