word	positive-emotion	negative-emotion	neutral-emotion	ambiguous-emotion				
optimism	1.015223725	1.124947711	1.1365621	1.168709416	1.015223725	1.124947711	1	1
hope	1.240949998	1.358696079	1.511849318	1.374692483	1.240949998	1.358696079	1	1
hopefulness	1.131560451	1.287511248	1.339105295	1.331801736	1.131560451	1.287511248	1	1
expectant	1.265570067	1.265534215	1.316493532	1.42292009	1.265534215	1.265570067	0	1
hopefully	1.273064392	1.415398105	1.488328895	1.287050531	1.273064392	1.287050531	1	1
encourage	1.329827218	1.498501268	1.417289473	1.596396381	1.329827218	1.417289473	1	1
encouragement	1.226899762	1.379082606	1.288714271	1.414835235	1.226899762	1.288714271	1	1
hortatory	1.46261065	1.491529241	1.479742809	1.491236699	1.46261065	1.479742809	1	1
rallying	1.445956022	1.397746975	1.501622585	1.484608135	1.397746975	1.445956022	0	1
encouraging	1.220597966	1.33200925	1.347095347	1.44223499	1.220597966	1.33200925	1	1
heartening	1.393325162	1.373329862	1.492373786	1.399937845	1.373329862	1.393325162	0	1
pleased	0.97152199	1.148374389	1.331133538	1.055079136	0.97152199	1.055079136	1	1
encouragingly	1.391163643	1.417932949	1.428001506	1.449827522	1.391163643	1.417932949	1	1
hortative	1.504720473	1.549265712	1.490917194	1.525568336	1.490917194	1.504720473	0	1
stylish	1.072880367	1.267854618	1.308585705	1.14126489	1.072880367	1.14126489	1	1
cool	1.193033811	1.371132652	1.441806054	1.297467691	1.193033811	1.297467691	1	1
caller	1.57367008	1.591677034	1.533476642	1.560812338	1.533476642	1.560812338	0	0
unenthusiastic	1.289386013	1.21062932	1.233577773	1.306549358	1.21062932	1.233577773	0	0
fashionable	1.274055447	1.377592821	1.330958847	1.37211685	1.274055447	1.330958847	1	1
unresponsive	1.255178795	1.105887641	1.098987371	1.285408104	1.098987371	1.105887641	0	0
coolness	1.093695656	1.160569893	1.231685631	1.117513418	1.093695656	1.117513418	1	1
precooled	1.570897535	1.598712556	1.673890306	1.560711149	1.560711149	1.570897535	0	1
cold	1.408003548	1.357740831	1.477967776	1.45574503	1.357740831	1.408003548	0	1
tranquillity	1.245552588	1.262697294	1.415379476	1.320912676	1.245552588	1.262697294	1	1
composed	1.509533927	1.629662306	1.595436735	1.53801238	1.509533927	1.53801238	1	1
tranquilly	1.479253729	1.503358491	1.593408995	1.527606879	1.479253729	1.503358491	1	1
placidity	1.322502924	1.321055022	1.351543968	1.33899649	1.321055022	1.322502924	0	1
placid	1.387819787	1.478624324	1.431970571	1.425126839	1.387819787	1.425126839	1	1
placidly	1.468012657	1.426636038	1.43306227	1.452465031	1.426636038	1.43306227	0	0
loyalty	1.193479817	1.272460429	1.334635267	1.471768784	1.193479817	1.272460429	1	1
amatory	1.323801368	1.35596364	1.322905547	1.374818058	1.322905547	1.323801368	0	1
worship	1.414061388	1.556262673	1.516851531	1.621483565	1.414061388	1.516851531	1	1
dedicated	1.486451059	1.71660229	1.678656103	1.629060677	1.486451059	1.629060677	1	1
devoted	1.35816163	1.514719127	1.444876193	1.50321117	1.35816163	1.444876193	1	1
devotion	1.087641445	1.299561901	1.266788571	1.344471299	1.087641445	1.266788571	1	1
benevolence	1.089135129	1.243656292	1.230516062	1.390844376	1.089135129	1.230516062	1	1
benevolent	1.197727213	1.285331958	1.294086465	1.437487386	1.197727213	1.285331958	1	1
benevolently	1.146138152	1.165002477	1.184375131	1.300071211	1.146138152	1.165002477	1	1
reassuringly	1.456050129	1.491547474	1.479235465	1.435318283	1.435318283	1.456050129	0	1
reassured	1.199288553	1.173145126	1.37892785	1.114693622	1.114693622	1.173145126	0	0
confident	0.972083164	1.152898067	1.205117972	1.060191652	0.972083164	1.060191652	1	1
security	1.623249166	1.595383446	1.54779868	1.699494461	1.54779868	1.595383446	0	0
consolatory	1.436743757	1.479136267	1.527434022	1.475687131	1.436743757	1.475687131	1	1
reassure	1.249768968	1.245179511	1.33254548	1.323664495	1.245179511	1.249768968	0	1
consoling	1.198607278	1.175959731	1.322540224	1.275837783	1.175959731	1.198607278	0	1
assuring	1.230365248	1.362802914	1.439611616	1.382157395	1.230365248	1.362802914	1	1
soothing	0.973216609	1.091790424	1.222339172	1.051086328	0.973216609	1.051086328	1	1
ego	1.362450036	1.322684724	1.36919364	1.43919801	1.322684724	1.362450036	0	1
beaming	1.420927766	1.451644487	1.440747269	1.311752208	1.311752208	1.420927766	0	1
gladsome	1.338122479	1.405433781	1.454647517	1.343044187	1.338122479	1.343044187	1	1
thankful	1.097165949	1.194913848	1.392448988	1.192562143	1.097165949	1.192562143	1	1
gladness	1.100083104	1.281358776	1.419537551	1.199264199	1.100083104	1.199264199	1	1
cheerful	0.787889062	1.014372159	1.043244909	1.003064563	0.787889062	1.003064563	1	1
content	1.479652724	1.579198189	1.479712004	1.597220006	1.479652724	1.479712004	1	1
smug	1.088353184	1.025206453	1.221271787	1.136190669	1.025206453	1.088353184	0	1
contentment	0.981448945	1.173539377	1.184273888	1.260748385	0.981448945	1.173539377	1	1
exuberantly	1.302314315	1.421592044	1.477882622	1.24310941	1.24310941	1.302314315	0	1
exuberance	1.027798048	1.10841449	1.218719614	1.030232438	1.027798048	1.030232438	1	1
belonging	1.549802132	1.577140759	1.538378134	1.64262095	1.538378134	1.549802132	0	1
cheerfulness	0.984466524	1.093384975	1.230326322	1.151091096	0.984466524	1.093384975	1	1
perky	1.279272322	1.357311727	1.39841539	1.303008528	1.279272322	1.303008528	1	1
chirpy	1.325014083	1.369899467	1.439257633	1.308969764	1.308969764	1.325014083	0	1
sunny	1.273654713	1.424183318	1.448253766	1.409799717	1.273654713	1.409799717	1	1
buoyant	1.241664418	1.349765663	1.270638453	1.307172672	1.241664418	1.270638453	1	1
smiling	1.100665954	1.155236771	1.31762574	1.090622537	1.090622537	1.100665954	0	1
debonair	1.110517613	1.239368086	1.329925933	1.16729665	1.110517613	1.16729665	1	1
cheer	1.254565213	1.338788376	1.522387379	1.231105973	1.231105973	1.254565213	0	1
chipper	1.503454682	1.532912563	1.559648219	1.437749867	1.437749867	1.503454682	0	1
twinkly	1.430252837	1.481338656	1.568984904	1.412138644	1.412138644	1.430252837	0	1
lighthearted	1.120122116	1.197724542	1.265866841	1.167840234	1.120122116	1.167840234	1	1
debonaire	1.5008137	1.565278468	1.618799335	1.506539839	1.5008137	1.506539839	1	1
cheerfully	1.039671239	1.037612999	1.265297311	1.024688043	1.024688043	1.037612999	0	0
cheery	0.993140637	1.132069135	1.273439563	1.095341264	0.993140637	1.095341264	1	1
jaunty	1.091101008	1.144608348	1.192192081	1.125589979	1.091101008	1.125589979	1	1
beamish	1.573279269	1.543717198	1.533878321	1.57185579	1.533878321	1.543717198	0	0
jubilant	1.255782189	1.251215708	1.38912765	1.182240244	1.182240244	1.251215708	0	0
exhilarated	1.202556772	1.221776985	1.348959772	1.198108067	1.198108067	1.202556772	0	1
rejoicing	1.104855978	1.206146716	1.397070632	1.15116713	1.104855978	1.15116713	1	1
elation	1.214190431	1.196644695	1.272622276	1.188659024	1.188659024	1.196644695	0	0
triumphal	1.435360942	1.548196051	1.556053584	1.446955613	1.435360942	1.446955613	1	1
triumphant	1.16738937	1.18681292	1.394249228	1.142621541	1.142621541	1.16738937	0	1
high	1.493317818	1.572417229	1.505982715	1.541150836	1.493317818	1.505982715	1	1
exulting	1.404710698	1.353413779	1.490350126	1.401501301	1.353413779	1.401501301	0	0
uplifted	1.511929778	1.475256756	1.504329235	1.489003347	1.475256756	1.489003347	0	0
sublime	1.111012469	1.252575997	1.24688292	1.17045275	1.111012469	1.17045275	1	1
exultant	1.176685072	1.257126573	1.359070996	1.188423953	1.176685072	1.188423953	1	1
prideful	1.09062757	1.052073839	1.244776483	1.196925271	1.052073839	1.09062757	0	1
exhilarating	1.024227079	1.228051914	1.252232364	0.9794508	0.9794508	1.024227079	0	1
invigorating	1.170837507	1.381776731	1.39696451	1.224881721	1.170837507	1.224881721	1	1
elated	1.02106411	1.072657896	1.301980332	1.0042124	1.0042124	1.02106411	0	1
exhilaration	1.218813518	1.298990761	1.291119873	1.177317723	1.177317723	1.218813518	0	1
gladdened	1.400607281	1.429581878	1.533387276	1.383216415	1.383216415	1.400607281	0	1
exult	1.351186129	1.31920739	1.408219964	1.349781554	1.31920739	1.349781554	0	0
exultantly	1.313424131	1.394654501	1.459001191	1.395067219	1.313424131	1.394654501	1	1
exultation	1.13491012	1.192443752	1.354036222	1.152672367	1.13491012	1.152672367	1	1
euphoric	1.153454916	1.120625294	1.190574441	1.206481617	1.120625294	1.153454916	0	1
happily	1.197900964	1.295538069	1.456654338	1.32752482	1.197900964	1.295538069	1	1
euphoriant	1.44142697	1.446371783	1.464976788	1.489336878	1.44142697	1.446371783	1	1
happy	1.01506855	1.205909003	1.379481611	1.160941079	1.01506855	1.160941079	1	1
golden	1.532535605	1.626898922	1.690169776	1.532799825	1.532535605	1.532799825	1	1
bright	1.189489784	1.371339968	1.380766092	1.218599767	1.189489784	1.218599767	1	1
prosperous	1.358157443	1.483811578	1.455777042	1.567185684	1.358157443	1.455777042	1	1
laughing	1.206931857	1.163032029	1.371750444	1.090100808	1.090100808	1.163032029	0	0
expansive	1.309018663	1.478622476	1.380114827	1.429755998	1.309018663	1.380114827	1	1
blissful	1.120270696	1.294849949	1.337004773	1.260849258	1.120270696	1.260849258	1	1
halcyon	1.466377839	1.603370847	1.575942955	1.527695439	1.466377839	1.527695439	1	1
happiness	1.077095539	1.305201614	1.296283507	1.350883548	1.077095539	1.296283507	1	1
blessed	1.26996986	1.422813386	1.541841035	1.356009845	1.26996986	1.356009845	1	1
bonheur	1.364642632	1.483640776	1.477470247	1.483155913	1.364642632	1.477470247	1	1
rejoice	1.084124052	1.228973577	1.440949373	1.213335126	1.084124052	1.213335126	1	1
avid	1.340872843	1.495524638	1.418298119	1.459331832	1.340872843	1.418298119	1	1
enthusiastic	1.066485668	1.256537224	1.220529114	1.172618772	1.066485668	1.172618772	1	1
eagerly	1.29103657	1.350966307	1.509920607	1.322877545	1.29103657	1.322877545	1	1
eagerness	1.127381623	1.19190273	1.255633295	1.224454147	1.127381623	1.19190273	1	1
exuberantly	1.302314315	1.421592044	1.477882622	1.24310941	1.24310941	1.302314315	0	1
exuberance	1.027798048	1.10841449	1.218719614	1.030232438	1.027798048	1.030232438	1	1
gusto	1.16970107	1.263399126	1.401591282	1.15270264	1.15270264	1.16970107	0	1
amicable	1.310758678	1.409909947	1.368663269	1.503440314	1.310758678	1.368663269	1	1
friendly	1.198600357	1.355012429	1.348988745	1.43116952	1.198600357	1.348988745	1	1
friendliness	0.997039791	1.23161265	1.167659313	1.232259743	0.997039791	1.167659313	1	1
preference	1.374337617	1.471204143	1.317446703	1.620743219	1.317446703	1.374337617	0	1
fondness	1.137740457	1.207486714	1.332861407	1.286600484	1.137740457	1.207486714	1	1
favourable	1.190782063	1.314634173	1.264310941	1.365405096	1.190782063	1.264310941	1	1
authorized	1.635926629	1.685992755	1.684892346	1.693394736	1.635926629	1.684892346	1	1
approval	1.498819804	1.581584902	1.489675024	1.632846744	1.489675024	1.498819804	0	1
approving	1.430691127	1.456632273	1.475735276	1.516999552	1.430691127	1.456632273	1	1
authorised	1.605021548	1.625920414	1.596344808	1.621151297	1.596344808	1.605021548	0	1
approved	1.634002188	1.731074854	1.679261101	1.710206571	1.634002188	1.679261101	1	1
approve	1.465155011	1.503877211	1.520148894	1.572332445	1.465155011	1.503877211	1	1
admirably	1.204129912	1.392114626	1.401554405	1.255953291	1.204129912	1.255953291	1	1
estimable	1.502722812	1.554986436	1.546184617	1.484789519	1.484789519	1.502722812	0	1
pleasing	0.933937456	1.202020965	1.199980597	1.067330288	0.933937456	1.067330288	1	1
admire	0.973489034	1.16739481	1.302161909	1.022741651	0.973489034	1.022741651	1	1
admiration	1.061378422	1.234306728	1.250535409	1.175482892	1.061378422	1.175482892	1	1
admirable	0.963584581	1.175551554	1.156012073	1.063154264	0.963584581	1.063154264	1	1
captivation	1.470127613	1.536534709	1.634430828	1.504185143	1.470127613	1.504185143	1	1
attractive	1.095856265	1.315039117	1.241963692	1.313015896	1.095856265	1.241963692	1	1
captivated	1.067559624	1.194006827	1.350212097	1.012417236	1.012417236	1.067559624	0	1
beguiled	1.299115835	1.22644426	1.46306863	1.291295705	1.22644426	1.291295705	0	0
enchanted	1.242612391	1.371405943	1.502914249	1.247536286	1.242612391	1.247536286	1	1
capture	1.577004465	1.478783189	1.555381155	1.479408393	1.478783189	1.479408393	0	0
bewitching	1.206807017	1.243050783	1.429237105	1.205618254	1.205618254	1.206807017	0	1
loving	0.994369144	1.187210756	1.321345516	1.274899455	0.994369144	1.187210756	1	1
frisson	1.247201072	1.289326508	1.380705094	1.221136769	1.221136769	1.247201072	0	1
attachment	1.317955242	1.409964442	1.316468612	1.57891381	1.316468612	1.317955242	0	1
compassionate	0.998867582	1.076028105	1.162120857	1.279919149	0.998867582	1.076028105	1	1
caring	1.101850718	1.200819803	1.253564036	1.39481399	1.101850718	1.200819803	1	1
protectively	1.508607963	1.446892126	1.476761593	1.501103939	1.446892126	1.476761593	0	0
protectiveness	1.354839326	1.371880921	1.37684105	1.467074046	1.354839326	1.371880921	1	1
regard	1.251056577	1.335599684	1.268852106	1.401800269	1.251056577	1.268852106	1	1
gratefulness	1.299458725	1.405223859	1.416687322	1.438335101	1.299458725	1.405223859	1	1
anticipation	1.422106443	1.441864399	1.500507712	1.384173702	1.384173702	1.422106443	0	1
anticipate	1.365981117	1.373976708	1.357930231	1.315982089	1.315982089	1.357930231	0	0
sanguine	1.137697248	1.194995486	1.266061227	1.309128361	1.137697248	1.194995486	1	1
optimistic	1.0169973	1.11672365	1.118648801	1.15684955	1.0169973	1.11672365	1	1
peace	1.378678767	1.442652685	1.472265732	1.577012779	1.378678767	1.442652685	1	1
peaceable	1.343150034	1.343115333	1.425396319	1.456502128	1.343115333	1.343150034	0	1
peaceful	1.205139055	1.304511278	1.306007309	1.427833244	1.205139055	1.304511278	1	1
peaceably	1.446439772	1.446563839	1.519535763	1.530511662	1.446439772	1.446563839	1	1
easily	1.368988101	1.385708708	1.385839438	1.383243284	1.368988101	1.383243284	1	1
still	1.465647056	1.488350439	1.454086393	1.529903982	1.454086393	1.465647056	0	1
easiness	1.30751342	1.321397183	1.329997088	1.381293975	1.30751342	1.321397183	1	1
easy	1.19472489	1.360565372	1.354336897	1.291796579	1.19472489	1.291796579	1	1
warmhearted	1.307612696	1.405679421	1.326516471	1.41998277	1.307612696	1.326516471	1	1
beneficent	1.217767677	1.358486052	1.367870825	1.425989204	1.217767677	1.358486052	1	1
beneficence	1.300780564	1.374763985	1.441341312	1.510302184	1.300780564	1.374763985	1	1
benefic	1.37531158	1.441635375	1.416128825	1.525002761	1.37531158	1.416128825	1	1
beneficed	1.623458726	1.591494594	1.584633986	1.67259068	1.584633986	1.591494594	0	0
beneficially	1.477175665	1.459183912	1.49062449	1.552735832	1.459183912	1.477175665	0	1
convinced	1.251444707	1.241838275	1.384220969	1.263637704	1.241838275	1.251444707	0	1
certain	1.368187425	1.422529157	1.361229968	1.507600469	1.361229968	1.368187425	0	1
confidence	1.270774009	1.323340252	1.315029902	1.359313131	1.270774009	1.315029902	1	1
sure	1.200708794	1.318476427	1.443578067	1.224332623	1.200708794	1.224332623	1	1
satisfaction	1.185982961	1.360962658	1.237716523	1.396981844	1.185982961	1.237716523	1	1
tolerable	1.387059504	1.413374231	1.35958903	1.446778793	1.35958903	1.387059504	0	1
satisfying	1.136413681	1.362595487	1.30048981	1.326040474	1.136413681	1.30048981	1	1
fine	1.37161505	1.465047141	1.473110531	1.438699451	1.37161505	1.438699451	1	1
contented	1.050300001	1.111373169	1.209216615	1.228062727	1.050300001	1.111373169	1	1
satisfy	1.368607861	1.465214242	1.443721919	1.539148632	1.368607861	1.443721919	1	1
okay	1.269360661	1.319292319	1.50077731	1.207198344	1.207198344	1.269360661	0	1
satisfied	1.12234439	1.263223953	1.286795806	1.236628351	1.12234439	1.236628351	1	1
cheering	1.199512776	1.221294097	1.404620498	1.087946017	1.087946017	1.199512776	0	1
satiate	1.343376792	1.304638445	1.45888721	1.307991644	1.304638445	1.307991644	0	0
alright	1.332363993	1.419302656	1.620473516	1.310301094	1.310301094	1.332363993	0	1
comforting	0.913372741	0.985037015	1.185485814	1.065120226	0.913372741	0.985037015	1	1
appreciated	1.027050555	1.256379458	1.284614171	1.067083503	1.027050555	1.067083503	1	1
satisfactorily	1.465435963	1.53447001	1.423968857	1.433939481	1.423968857	1.433939481	0	0
ok	1.440830551	1.495978697	1.598206537	1.403180992	1.403180992	1.440830551	0	1
right	1.452228887	1.484654946	1.448995344	1.571337618	1.448995344	1.452228887	0	1
satiated	1.245875632	1.233048518	1.356970074	1.27445115	1.233048518	1.245875632	0	1
adequate	1.376772115	1.488771221	1.355445296	1.531001073	1.355445296	1.376772115	0	1
copacetic	1.386138347	1.425891944	1.508798839	1.401873977	1.386138347	1.401873977	1	1
understood	1.291852355	1.375195109	1.323909392	1.332313726	1.291852355	1.323909392	1	1
passing	1.493559623	1.505099158	1.453742343	1.539432004	1.453742343	1.493559623	0	1
satisfactory	1.278798377	1.42458394	1.288210853	1.402034608	1.278798377	1.288210853	1	1
passable	1.388281996	1.392510328	1.425234935	1.394981729	1.388281996	1.392510328	1	1
comforted	1.030159091	1.00701724	1.272416691	1.075399024	1.00701724	1.030159091	0	1
comfort	1.170791776	1.31632956	1.313805421	1.412402986	1.170791776	1.313805421	1	1
comfortably	1.366558145	1.443818414	1.440879539	1.384828883	1.366558145	1.384828883	1	1
comfortable	1.068837878	1.302283988	1.238731394	1.299753696	1.068837878	1.238731394	1	1
chummy	1.334363583	1.385918221	1.439543382	1.373252265	1.334363583	1.373252265	1	1
dear	1.129888618	1.292703171	1.42959949	1.259570453	1.129888618	1.259570453	1	1
boon	1.411009742	1.500079182	1.574887981	1.452493445	1.411009742	1.452493445	1	1
cozy	1.380660637	1.468100124	1.51750411	1.438111678	1.380660637	1.438111678	1	1
near	1.70466797	1.664129965	1.634880859	1.613542709	1.613542709	1.634880859	0	0
familiar	1.17256931	1.338893483	1.35736651	1.23052377	1.17256931	1.23052377	1	1
approximate	1.581446312	1.70044984	1.569314168	1.647703117	1.569314168	1.581446312	0	1
closeness	1.20482662	1.318477301	1.210957521	1.394609408	1.20482662	1.210957521	1	1
confidential	1.487138667	1.451241684	1.480492326	1.536350786	1.451241684	1.480492326	0	0
intimate	1.092749671	1.318843644	1.254866691	1.320647081	1.092749671	1.254866691	1	1
good	0.936459826	1.190398369	1.273491866	1.226359851	0.936459826	1.190398369	1	1
close	1.340239187	1.421564235	1.405096037	1.470468136	1.340239187	1.405096037	1	1
thick	1.437020194	1.444073498	1.467293455	1.447175078	1.437020194	1.444073498	1	1
untroubled	1.24911625	1.233167095	1.233251164	1.250713368	1.233167095	1.233251164	0	0
carefree	1.012320212	1.10529751	1.200476902	1.194292423	1.012320212	1.10529751	1	1
buoyancy	1.473528041	1.522202384	1.416740761	1.560533962	1.416740761	1.473528041	0	1
euphoria	1.190204948	1.179227547	1.254994661	1.212182638	1.179227547	1.190204948	0	1
bang	1.573116355	1.593302266	1.637636408	1.491505087	1.491505087	1.573116355	0	1
exciting	1.034369114	1.264572276	1.315646712	0.979634087	0.979634087	1.034369114	0	1
excited	1.130339248	1.199244719	1.243739437	1.123149303	1.123149303	1.130339248	0	1
titillation	1.322437718	1.312081274	1.304834811	1.40897727	1.304834811	1.312081274	0	0
titillating	1.236542552	1.215448615	1.368781275	1.283254814	1.215448615	1.236542552	0	1
tickle	1.230578912	1.206397798	1.332016448	1.201669979	1.201669979	1.206397798	0	0
teased	1.144420062	1.069584235	1.299490064	1.10515326	1.069584235	1.10515326	0	0
triumphantly	1.320207828	1.291274648	1.497669294	1.199254762	1.199254762	1.291274648	0	0
delight	0.908496447	1.10932022	1.237236328	0.928807398	0.908496447	0.928807398	1	1
triumph	1.315899031	1.354582708	1.455329894	1.29756722	1.29756722	1.315899031	0	1
kid	1.40804546	1.399647173	1.63370941	1.327713877	1.327713877	1.399647173	0	0
joyous	0.952387528	1.123059915	1.300222195	1.037116625	0.952387528	1.037116625	1	1
jollity	1.205055306	1.259085565	1.27065008	1.29323811	1.205055306	1.259085565	1	1
gay	1.411034084	1.415513309	1.47125549	1.484634008	1.411034084	1.415513309	1	1
hilarity	1.12617054	1.142283643	1.187332443	1.094365458	1.094365458	1.12617054	0	1
hilarious	1.079933008	1.097290756	1.299512047	0.968583993	0.968583993	1.079933008	0	1
humourous	1.509425957	1.549806922	1.596070125	1.456468771	1.456468771	1.509425957	0	1
humorous	1.195108704	1.247255248	1.292928324	1.200657476	1.195108704	1.200657476	1	1
hilariously	1.281205777	1.174326729	1.318481469	1.139769835	1.139769835	1.174326729	0	0
ardor	1.130400655	1.130946333	1.218370884	1.231315335	1.130400655	1.130946333	1	1
brotherly	1.158699928	1.264119274	1.360742819	1.360410067	1.158699928	1.264119274	1	1
