word	positive-emotion	negative-emotion	neutral-emotion	ambiguous-emotion				
agitation	1.394525765	1.245938136	1.250718504	1.450770858	1.245938136	1.250718504	0	0
gravity	1.534033025	1.559316309	1.487577361	1.489027826	1.487577361	1.489027826	0	1
thing	1.255028504	1.289002553	1.41709654	1.180876402	1.180876402	1.255028504	1	1
expectation	1.29707003	1.40328518	1.259659594	1.421838705	1.259659594	1.29707003	0	0
hopeful	1.109007557	1.185928284	1.351667307	1.162187172	1.109007557	1.162187172	0	1
expectantly	1.46819114	1.403809921	1.522825151	1.456543979	1.403809921	1.456543979	0	1
expect	1.269506767	1.363909618	1.296132482	1.277037716	1.269506767	1.277037716	0	1
amazed	1.05132977	1.118149239	1.319000734	0.780766072	0.780766072	1.05132977	1	1
surprising	1.131568409	1.197960007	1.271935156	0.906173094	0.906173094	1.131568409	1	1
surprised	1.163561961	1.138466017	1.3039468	0.874230871	0.874230871	1.138466017	1	1
astonishment	1.079343824	1.073595871	1.25371843	0.955029552	0.955029552	1.073595871	1	1
amazing	1.306413478	1.487967337	1.569066836	1.099764167	1.099764167	1.306413478	1	1
perplex	1.351893181	1.376844631	1.466647654	1.379334497	1.351893181	1.376844631	0	0
respectful	0.932686286	1.124106769	1.134288852	1.243945778	0.932686286	1.124106769	0	0
worshipful	1.533741773	1.602584332	1.590936224	1.592224807	1.533741773	1.590936224	0	0
adoring	1.164689779	1.256793324	1.420601049	1.202617498	1.164689779	1.202617498	0	1
reverence	1.103300196	1.249890111	1.321926928	1.31784728	1.103300196	1.249890111	0	0
idolize	1.189831181	1.225792989	1.397013954	1.22176952	1.189831181	1.22176952	0	1
venerating	1.373233907	1.429233031	1.505904387	1.474983747	1.373233907	1.429233031	0	0
reverentially	1.387638217	1.377487058	1.511615342	1.391142162	1.377487058	1.387638217	0	0
reverential	1.21251041	1.393769265	1.323144634	1.303919599	1.21251041	1.303919599	0	1
awful	1.06365126	1.044220594	1.292582111	0.932183213	0.932183213	1.044220594	1	1
incite	1.31950067	1.108497989	1.338807995	1.340501333	1.108497989	1.31950067	0	0
stir	1.313288754	1.2104051	1.39115291	1.215310526	1.2104051	1.215310526	0	1
touch	1.210587238	1.336618061	1.38894063	1.195793694	1.195793694	1.210587238	1	1
stimulate	1.404043756	1.521495807	1.496300041	1.530697565	1.404043756	1.496300041	0	0
inflame	1.279529701	1.152649101	1.348184651	1.294046047	1.152649101	1.279529701	0	0
unrest	1.584177524	1.342039292	1.454805502	1.54695753	1.342039292	1.454805502	0	0
tumult	1.307299572	1.119204231	1.346448532	1.231898612	1.119204231	1.231898612	0	1
sincere	0.788168918	0.956943923	1.059455473	1.072249733	0.788168918	0.956943923	0	0
seriously	1.436600496	1.299877722	1.365641788	1.349557938	1.299877722	1.349557938	0	1
earnestness	0.910890714	1.111732181	1.153379348	1.000191153	0.910890714	1.000191153	0	1
feverishly	1.621795439	1.622551332	1.635905213	1.548352144	1.548352144	1.621795439	1	1
fevered	1.296787554	1.286891911	1.388459591	1.212886488	1.212886488	1.286891911	1	1
fever	1.515715049	1.408043074	1.544246076	1.427179818	1.408043074	1.427179818	0	1
dumbstruck	1.464269788	1.405637777	1.507049544	1.338938052	1.338938052	1.405637777	1	1
amazingly	1.267781915	1.383289418	1.384116048	1.123268831	1.123268831	1.267781915	1	1
surprisingly	1.193416717	1.254839515	1.257961947	1.076818186	1.076818186	1.193416717	1	1
stunned	1.198805931	1.037325998	1.361071906	0.865765395	0.865765395	1.037325998	1	1
surprise	1.286364371	1.236391131	1.379214834	1.049262016	1.049262016	1.236391131	1	1
flabbergasted	1.429566512	1.364455431	1.565091241	1.307291015	1.307291015	1.364455431	1	1
stupefied	1.468713679	1.35170782	1.442802031	1.382639938	1.35170782	1.382639938	0	1
astounded	1.161874723	1.235015662	1.384702776	0.945748068	0.945748068	1.161874723	1	1
stunning	1.14687673	1.245848622	1.350525955	0.92511783	0.92511783	1.14687673	1	1
startling	1.076087309	1.113960514	1.262863257	0.805233164	0.805233164	1.076087309	1	1
astonished	1.063094353	1.080990023	1.299306098	0.819507907	0.819507907	1.063094353	1	1
thunderstruck	1.297338199	1.308326458	1.525900448	1.212434581	1.212434581	1.297338199	1	1
startled	1.187869544	1.050184236	1.269822686	0.901290253	0.901290253	1.050184236	1	1
astonishing	1.13749379	1.279061262	1.310261239	0.917547428	0.917547428	1.13749379	1	1
stupefaction	1.422289149	1.359912885	1.460148037	1.355627881	1.355627881	1.359912885	1	1
dumbfounded	1.258552016	1.229499502	1.423790896	1.12026413	1.12026413	1.229499502	1	1
stun	1.525124047	1.37061596	1.54538519	1.345797497	1.345797497	1.37061596	1	1
confused	1.425852273	1.418789309	1.455371336	1.340305664	1.340305664	1.418789309	1	1
stupefying	1.36664341	1.284955768	1.437414909	1.259929409	1.259929409	1.284955768	1	1
dazed	1.450505104	1.317101573	1.43640598	1.330736075	1.317101573	1.330736075	0	1
fantastic	1.414349427	1.415942713	1.56367572	1.159217534	1.159217534	1.414349427	1	1
wonder	1.3407401	1.413134075	1.58357229	1.151452429	1.151452429	1.3407401	1	1
wonderfully	1.027210543	1.215180426	1.311093314	0.975281765	0.975281765	1.027210543	1	1
extraordinary	1.195223236	1.339519398	1.348792679	1.087863329	1.087863329	1.195223236	1	1
screaming	1.343404659	1.165125662	1.476379071	1.154015112	1.154015112	1.165125662	1	1
yellow	1.559564818	1.572818056	1.592605773	1.582619722	1.559564818	1.572818056	0	0
sensational	1.263464457	1.171812948	1.348299204	1.093315703	1.093315703	1.171812948	1	1
sensationally	1.501164975	1.488730453	1.529843087	1.374009879	1.374009879	1.488730453	1	1
sensation	1.327587763	1.317875541	1.322896866	1.187584035	1.187584035	1.317875541	1	1
lurid	1.275511067	1.102199387	1.298374723	1.158733075	1.102199387	1.158733075	0	1
shocking	1.12388597	0.957151445	1.24915211	0.912895959	0.912895959	0.957151445	1	1
electricity	1.640213377	1.688841468	1.590263473	1.6325052	1.590263473	1.6325052	0	1
amazed	1.05132977	1.118149239	1.319000734	0.780766072	0.780766072	1.05132977	1	1
surprising	1.131568409	1.197960007	1.271935156	0.906173094	0.906173094	1.131568409	1	1
surprised	1.163561961	1.138466017	1.3039468	0.874230871	0.874230871	1.138466017	1	1
astonishment	1.079343824	1.073595871	1.25371843	0.955029552	0.955029552	1.073595871	1	1
amazing	1.306413478	1.487967337	1.569066836	1.099764167	1.099764167	1.306413478	1	1
perplex	1.351893181	1.376844631	1.466647654	1.379334497	1.351893181	1.376844631	0	0
awe	1.123421161	1.209760895	1.312394766	0.992494899	0.992494899	1.123421161	1	1
overawed	1.320305055	1.287408249	1.419034696	1.268525621	1.268525621	1.287408249	1	1
awed	1.018378078	1.036046956	1.26162367	0.896135516	0.896135516	1.018378078	1	1
reverent	1.161146022	1.284234745	1.343681252	1.287196638	1.161146022	1.284234745	0	0
dumbstruck	1.464269788	1.405637777	1.507049544	1.338938052	1.338938052	1.405637777	1	1
amazingly	1.267781915	1.383289418	1.384116048	1.123268831	1.123268831	1.267781915	1	1
surprisingly	1.193416717	1.254839515	1.257961947	1.076818186	1.076818186	1.193416717	1	1
stunned	1.198805931	1.037325998	1.361071906	0.865765395	0.865765395	1.037325998	1	1
surprise	1.286364371	1.236391131	1.379214834	1.049262016	1.049262016	1.236391131	1	1
flabbergasted	1.429566512	1.364455431	1.565091241	1.307291015	1.307291015	1.364455431	1	1
stupefied	1.468713679	1.35170782	1.442802031	1.382639938	1.35170782	1.382639938	0	1
astounded	1.161874723	1.235015662	1.384702776	0.945748068	0.945748068	1.161874723	1	1
stunning	1.14687673	1.245848622	1.350525955	0.92511783	0.92511783	1.14687673	1	1
startling	1.076087309	1.113960514	1.262863257	0.805233164	0.805233164	1.076087309	1	1
astonished	1.063094353	1.080990023	1.299306098	0.819507907	0.819507907	1.063094353	1	1
thunderstruck	1.297338199	1.308326458	1.525900448	1.212434581	1.212434581	1.297338199	1	1
startled	1.187869544	1.050184236	1.269822686	0.901290253	0.901290253	1.050184236	1	1
astonishing	1.13749379	1.279061262	1.310261239	0.917547428	0.917547428	1.13749379	1	1
stupefaction	1.422289149	1.359912885	1.460148037	1.355627881	1.355627881	1.359912885	1	1
dumbfounded	1.258552016	1.229499502	1.423790896	1.12026413	1.12026413	1.229499502	1	1
stun	1.525124047	1.37061596	1.54538519	1.345797497	1.345797497	1.37061596	1	1
confused	1.425852273	1.418789309	1.455371336	1.340305664	1.340305664	1.418789309	1	1
stupefying	1.36664341	1.284955768	1.437414909	1.259929409	1.259929409	1.284955768	1	1
dazed	1.450505104	1.317101573	1.43640598	1.330736075	1.317101573	1.330736075	0	1
fantastic	1.414349427	1.415942713	1.56367572	1.159217534	1.159217534	1.414349427	1	1
wonder	1.3407401	1.413134075	1.58357229	1.151452429	1.151452429	1.3407401	1	1
wonderfully	1.027210543	1.215180426	1.311093314	0.975281765	0.975281765	1.027210543	1	1
extraordinary	1.195223236	1.339519398	1.348792679	1.087863329	1.087863329	1.195223236	1	1
amazed	1.05132977	1.118149239	1.319000734	0.780766072	0.780766072	1.05132977	1	1
surprising	1.131568409	1.197960007	1.271935156	0.906173094	0.906173094	1.131568409	1	1
surprised	1.163561961	1.138466017	1.3039468	0.874230871	0.874230871	1.138466017	1	1
astonishment	1.079343824	1.073595871	1.25371843	0.955029552	0.955029552	1.073595871	1	1
amazing	1.306413478	1.487967337	1.569066836	1.099764167	1.099764167	1.306413478	1	1
perplex	1.351893181	1.376844631	1.466647654	1.379334497	1.351893181	1.376844631	0	0
awe	1.123421161	1.209760895	1.312394766	0.992494899	0.992494899	1.123421161	1	1
overawed	1.320305055	1.287408249	1.419034696	1.268525621	1.268525621	1.287408249	1	1
awed	1.018378078	1.036046956	1.26162367	0.896135516	0.896135516	1.018378078	1	1
reverent	1.161146022	1.284234745	1.343681252	1.287196638	1.161146022	1.284234745	0	0
dumbstruck	1.464269788	1.405637777	1.507049544	1.338938052	1.338938052	1.405637777	1	1
amazingly	1.267781915	1.383289418	1.384116048	1.123268831	1.123268831	1.267781915	1	1
surprisingly	1.193416717	1.254839515	1.257961947	1.076818186	1.076818186	1.193416717	1	1
stunned	1.198805931	1.037325998	1.361071906	0.865765395	0.865765395	1.037325998	1	1
surprise	1.286364371	1.236391131	1.379214834	1.049262016	1.049262016	1.236391131	1	1
flabbergasted	1.429566512	1.364455431	1.565091241	1.307291015	1.307291015	1.364455431	1	1
stupefied	1.468713679	1.35170782	1.442802031	1.382639938	1.35170782	1.382639938	0	1
astounded	1.161874723	1.235015662	1.384702776	0.945748068	0.945748068	1.161874723	1	1
stunning	1.14687673	1.245848622	1.350525955	0.92511783	0.92511783	1.14687673	1	1
startling	1.076087309	1.113960514	1.262863257	0.805233164	0.805233164	1.076087309	1	1
astonished	1.063094353	1.080990023	1.299306098	0.819507907	0.819507907	1.063094353	1	1
thunderstruck	1.297338199	1.308326458	1.525900448	1.212434581	1.212434581	1.297338199	1	1
startled	1.187869544	1.050184236	1.269822686	0.901290253	0.901290253	1.050184236	1	1
astonishing	1.13749379	1.279061262	1.310261239	0.917547428	0.917547428	1.13749379	1	1
stupefaction	1.422289149	1.359912885	1.460148037	1.355627881	1.355627881	1.359912885	1	1
dumbfounded	1.258552016	1.229499502	1.423790896	1.12026413	1.12026413	1.229499502	1	1
stun	1.525124047	1.37061596	1.54538519	1.345797497	1.345797497	1.37061596	1	1
confused	1.425852273	1.418789309	1.455371336	1.340305664	1.340305664	1.418789309	1	1
stupefying	1.36664341	1.284955768	1.437414909	1.259929409	1.259929409	1.284955768	1	1
dazed	1.450505104	1.317101573	1.43640598	1.330736075	1.317101573	1.330736075	0	1
fantastic	1.414349427	1.415942713	1.56367572	1.159217534	1.159217534	1.414349427	1	1
wonder	1.3407401	1.413134075	1.58357229	1.151452429	1.151452429	1.3407401	1	1
wonderfully	1.027210543	1.215180426	1.311093314	0.975281765	0.975281765	1.027210543	1	1
extraordinary	1.195223236	1.339519398	1.348792679	1.087863329	1.087863329	1.195223236	1	1
amazed	1.05132977	1.118149239	1.319000734	0.780766072	0.780766072	1.05132977	1	1
surprising	1.131568409	1.197960007	1.271935156	0.906173094	0.906173094	1.131568409	1	1
surprised	1.163561961	1.138466017	1.3039468	0.874230871	0.874230871	1.138466017	1	1
astonishment	1.079343824	1.073595871	1.25371843	0.955029552	0.955029552	1.073595871	1	1
amazing	1.306413478	1.487967337	1.569066836	1.099764167	1.099764167	1.306413478	1	1
perplex	1.351893181	1.376844631	1.466647654	1.379334497	1.351893181	1.376844631	0	0
awe	1.123421161	1.209760895	1.312394766	0.992494899	0.992494899	1.123421161	1	1
overawed	1.320305055	1.287408249	1.419034696	1.268525621	1.268525621	1.287408249	1	1
awed	1.018378078	1.036046956	1.26162367	0.896135516	0.896135516	1.018378078	1	1
reverent	1.161146022	1.284234745	1.343681252	1.287196638	1.161146022	1.284234745	0	0
							124	
