word	positive-emotion	negative-emotion	neutral-emotion	ambiguous-emotion	r			10	
venerating	1.373233907	1.429233031	1.505904387	1.474983747	4.548520901	1.373233907	0	0	0
earnestness	0.910890714	1.111732181	1.153379348	1.000191153	7.511708223	0.910890714	0	0	0
lurid	1.275511067	1.102199387	1.298374723	1.158733075	12.22520196	1.102199387	0	1	0
agitated	1.081378506	0.911220971	1.100721387	1.084086131	16.47226274	0.911220971	0	1	0
surprise	1.286364371	1.236391131	1.379214834	1.049262016	29.16213317	1.049262016	1	1	1
sincere	0.788168918	0.956943923	1.059455473	1.072249733	21.10741867	0.788168918	0	1	0
astonished	1.063094353	1.080990023	1.299306098	0.819507907	16.45598072	0.819507907	1	1	1
astonishing	1.13749379	1.279061262	1.310261239	0.917547428	20.83354803	0.917547428	1	1	1
sensational	1.263464457	1.171812948	1.348299204	1.093315703	19.02011249	1.093315703	1	1	1
pensively	1.368505794	1.445288731	1.463348449	1.371777761	1.351641188	1.368505794	0	0	0
frenetic	1.256129621	1.331392746	1.382157268	1.195924195	9.134737616	1.195924195	1	0	0
brooding	1.151281299	1.137404285	1.199199589	1.202750577	14.61653537	1.137404285	0	1	0
sensationally	1.501164975	1.488730453	1.529843087	1.374009879	2.670786521	1.374009879	1	0	0
wonderfully	1.027210543	1.215180426	1.311093314	0.975281765	12.67412925	0.975281765	1	1	1
shaken	1.23478856	1.052786472	1.337721682	1.067597606	20.84067087	1.052786472	0	1	0
idolize	1.189831181	1.225792989	1.397013954	1.22176952	3.974514574	1.189831181	0	0	0
fevered	1.296787554	1.286891911	1.388459591	1.212886488	2.404929461	1.212886488	1	0	0
touch	1.210587238	1.336618061	1.38894063	1.195793694	27.53251195	1.195793694	1	1	1
expectation	1.29707003	1.40328518	1.259659594	1.421838705	25.18557864	1.259659594	0	1	0
feverishly	1.621795439	1.622551332	1.635905213	1.548352144	3.709293695	1.548352144	1	0	0
incite	1.31950067	1.108497989	1.338807995	1.340501333	16.67246886	1.108497989	0	1	0
dazed	1.450505104	1.317101573	1.43640598	1.330736075	16.30650406	1.317101573	0	1	0
yellow	1.559564818	1.572818056	1.592605773	1.582619722	28.19673152	1.559564818	0	1	0
hectic	1.278426385	1.320756135	1.354472611	1.300187103	9.585768761	1.278426385	0	0	0
respectful	0.932686286	1.124106769	1.134288852	1.243945778	19.41241921	0.932686286	0	1	0
stupefaction	1.422289149	1.359912885	1.460148037	1.355627881	1.771941216	1.355627881	1	0	0
worshipful	1.533741773	1.602584332	1.590936224	1.592224807	27.07586474	1.533741773	0	1	0
hopeful	1.109007557	1.185928284	1.351667307	1.162187172	14.97992419	1.109007557	0	1	0
shocking	1.12388597	0.957151445	1.24915211	0.912895959	21.37217504	0.912895959	1	1	1
flabbergasted	1.429566512	1.364455431	1.565091241	1.307291015	2.565222729	1.307291015	1	0	0
unrest	1.584177524	1.342039292	1.454805502	1.54695753	38.43140257	1.342039292	0	1	0
thing	1.255028504	1.289002553	1.41709654	1.180876402	34.61067811	1.180876402	1	1	1
inflame	1.279529701	1.152649101	1.348184651	1.294046047	5.410823311	1.152649101	0	0	0
startled	1.187869544	1.050184236	1.269822686	0.901290253	13.85452393	0.901290253	1	1	1
stir	1.313288754	1.2104051	1.39115291	1.215310526	26.73754846	1.2104051	0	1	0
dumbfounded	1.258552016	1.229499502	1.423790896	1.12026413	4.185544864	1.12026413	1	0	0
awed	1.018378078	1.036046956	1.26162367	0.896135516	6.145685756	0.896135516	1	0	0
adoring	1.164689779	1.256793324	1.420601049	1.202617498	6.121936516	1.164689779	0	0	0
stupefying	1.36664341	1.284955768	1.437414909	1.259929409	2.212160099	1.259929409	1	0	0
sensation	1.327587763	1.317875541	1.322896866	1.187584035	30.49396005	1.187584035	1	1	1
frantic	1.138297292	1.035326625	1.279416889	1.012243795	13.87797611	1.012243795	1	1	1
expect	1.269506767	1.363909618	1.296132482	1.277037716	30.89194824	1.269506767	0	1	0
surprised	1.163561961	1.138466017	1.3039468	0.874230871	32.39026424	0.874230871	1	1	1
stupefied	1.468713679	1.35170782	1.442802031	1.382639938	2.22431739	1.35170782	0	0	0
					16.74473734		46	56	30
